id,stateName,name,geoid,electionYear,vtdst10,aland,awater, totalVotes 
75,NH,TOWN OF MILAN,33007MILA01,2016,MILA01,165256877,1954082, 744 
76,NH,TOWN OF NORTHUMBERLAND,33007NORU01,2016,NORU01,92496408,2017604, 990 
77,NH,TOWN OF PITTSBURG,33007PITB01,2016,PITB01,728742642,25403128, 472 
78,NH,TOWN OF RANDOLPH,33007RAND01,2016,RAND01,121972183,153299, 249 
79,NH,TOWN OF SHELBURNE,33007SHEL01,2016,SHEL01,124189866,2191892, 251 
80,NH,TOWN OF STARK,33007STAR01,2016,STAR01,151998279,2350275, 293 
81,NH,TOWN OF STEWARTSTOWN,33007STEW01,2016,STEW01,119687610,1489306, 350 
82,NH,TOWN OF STRATFORD,33007STRT01,2016,STRT01,205852212,1348183, 266 
83,NH,TOWN OF WHITEFIELD,33007WHIT01,2016,WHIT01,88632664,1127662," 1,114 "
84,NH,TOWNSHIP OF ATKINSON AND GILMANTON ACADEMY GRANT,33007ATGT01,2016,ATGT01,50323550,293570, -   
85,NH,TOWNSHIP OF BEANS GRANT,33007BGRT01,2016,BGRT01,25106782,0, -   
86,NH,TOWNSHIP OF BEANS PURCHASE,33007BPUR01,2016,BPUR01,168721067,271272, -   
87,NH,TOWNSHIP OF CAMBRIDGE,33007CAMB01,2016,CAMB01,130531225,1835555, 2 
88,NH,TOWNSHIP OF CHANDLERS PURCHASE,33007CHAN01,2016,CHAN01,5524810,0, -   
89,NH,TOWNSHIP OF CRAWFORDS PURCHASE,33007CRAW01,2016,CRAW01,21215369,0, -   
90,NH,TOWNSHIP OF CUTTS GRANT,33007CUTT01,2016,CUTT01,29623023,0, -   
91,NH,TOWNSHIP OF DIXS GRANT,33007DIXG01,2016,DIXG01,52168965,111053, -   
92,NH,TOWNSHIP OF DIXVILLE,33007DIXV01,2016,DIXV01,126442169,456607, 7 
93,NH,TOWNSHIP OF DUMMER,33007DUMM01,2016,DUMM01,124942434,3108693, 172 
94,NH,TOWNSHIP OF ERVINGS LOCATION,33007ERVI01,2016,ERVI01,9512309,0, -   
95,NH,TOWNSHIP OF GREENS GRANT,33007GRGT01,2016,GRGT01,9485051,7256, 1 
96,NH,TOWNSHIP OF HADLEYS PURCHASE,33007HADL01,2016,HADL01,19201758,0, -   
97,NH,TOWNSHIP OF KILKENNY,33007KILK01,2016,KILK01,66359602,50900, -   
98,NH,TOWNSHIP OF LOW AND BURBANKS GRANT,33007LOWB01,2016,LOWB01,67715113,1335, -   
99,NH,TOWNSHIP OF MARTINS LOCATION,33007MART01,2016,MART01,9668011,78390, -   
100,NH,TOWNSHIP OF MILLSFIELD,33007MILL01,2016,MILL01,115942974,1042463, 20 
101,NH,TOWNSHIP OF ODELL,33007ODEL01,2016,ODEL01,115187038,1802929, -   
102,NH,TOWNSHIP OF PINKHAMS GRANT,33007PINK01,2016,PINK01,9762736,15902, 3 
103,NH,TOWNSHIP OF SARGENTS PURCHASE,33007SARG01,2016,SARG01,66924190,16690, -   
104,NH,TOWNSHIP OF SECOND COLLEGE GRANT,33007SECO01,2016,SECO01,106581964,1298956, -   
